Publishing Date,Book Name,Author,Language,Author Rating,Rating Group,Book Average Rating,Book Ratings Count,Genre,Gross Sales,Publisher Revenue, Sale Price , Price Range ,Sales Rank,Publisher ,Units Sold
2003,Abhorsen,Garth Nix,english - US,Excellent,4.50,4.29,"80,740",nonfiction," $1,519.83 ", $911.90 , $12.99 , $ 12 - 13 ,836,"Amazon Digital Services,  Inc.","33,696"
2003,To the Nines,Janet Evanovich,english,Excellent,4.00,4.16,"86,963",fiction," $1,402.83 ", $841.70 , $11.99 , $ 11 - 12 ,844,Penglishuin Group (USA) LLC,"32,832"
2003,Stiff: The Curious Lives of Human Cadavers,Mary Roach,english,Intermediate,4.00,4.05,"122,502",nonfiction," $4,473.00 "," $2,683.80 ", $10.65 , $ 10 - 11 ,248,Random House LLC,420
2003,Shutter Island,Dennis Lehane,english,Intermediate,4.00,4.07,"113,718",fiction," $4,270.65 "," $2,562.39 ", $10.65 , $ 10 - 11 ,259,Penglishuin Group (USA) LLC,401
2003,æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,Bisco Hatori,english,Excellent,4.50,4.36,"113,881",fiction, $666.65 , $399.99 , $1.99 , $ 1 - 2 ,299,HarperCollins Publishers,335
2003,The Guardian,Nicholas spanishrks,english - US,Intermediate,4.00,4.14,"136,427",fiction," $1,873.08 ", $-   , $0.99 , $ 0 - 1 ,42,"Amazon Digital Services,  Inc.","1,892"
2003,The Wedding,Nicholas spanishrks,english - US,Intermediate,4.00,3.98,"118,045",fiction, $658.35 , $395.01 , $0.99 , $ 0 - 1 ,167,"Amazon Digital Services,  Inc.",665
2003,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,english,Intermediate,4.00,3.98,"112,167",fiction, $648.45 , $-   , $0.99 , $ 0 - 1 ,169,"Amazon Digital Services,  Inc.",655
2003,Onze minutos,"Paulo Coelho, Margaret Jull Costa",english,Intermediate,3.50,3.69,"102,206",fiction, $534.60 , $-   , $0.99 , $ 0 - 1 ,192,"Amazon Digital Services,  Inc.",540
2003,Shantarabicm,Gregory David Roberts,english,Intermediate,4.50,4.26,"95,213",fiction, $476.19 , $-   , $0.99 , $ 0 - 1 ,211,"Amazon Digital Services,  Inc.",481
2003,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,english - US,Intermediate,4.00,3.92,"82,090",fiction, $162.36 , $-   , $0.99 , $ 0 - 1 ,546,"Amazon Digital Services,  Inc.","4,428"
2003,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,english - US,Excellent,4.00,4.24,"66,406",fiction, $127.71 , $-   , $0.99 , $ 0 - 1 ,708,"Amazon Digital Services,  Inc.","47,952"
2003,The Amulet of Samarkand,Jonathan Stroud,english - US,Intermediate,4.00,3.99,"86,062",fiction, $127.71 , $-   , $0.99 , $ 0 - 1 ,709,"Amazon Digital Services,  Inc.","47,736"
2003,The Goose Girl,Shannon Hale,english - US,Excellent,4.00,4.18,"92,952",fiction, $120.78 , $72.47 , $0.99 , $ 0 - 1 ,738,Simon and Schuster Digital Sales Inc,"44,280"
2003,"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.",english,Excellent,4.00,4.12,"81,326",fiction, $117.81 , $-   , $0.99 , $ 0 - 1 ,767,"Amazon Digital Services,  Inc.","38,664"
2003,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,english - US,Intermediate,4.00,3.75,"56,548",fiction, $111.87 , $67.12 , $0.99 , $ 0 - 1 ,1007,"Amazon Digital Services,  Inc.","2,862"
2003,Emotional Intelligence 2.0,"Travis Bradberry, Jean Greaves, Patrick Lencioni",,Intermediate,4.00,3.81,"53,384",fiction, $109.89 , $-   , $0.99 , $ 0 - 1 ,1073,"Amazon Digital Services,  Inc.","4,360"
2003,Persepolis,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",english - US,Excellent,4.50,4.36,"71,353",nonfiction, $108.90 , $-   , $0.99 , $ 0 - 1 ,1099,"Amazon Digital Services,  Inc.","4,320"
2003,Dry: A Memoir,Augusten Burroughs,english,Excellent,4.00,4.01,"70,550",children," $1,448.55 ", $869.13 , $9.99 , $ 9 - 10 ,635,"Amazon Digital Services,  Inc.","3,915"
2003,Diary,Chuck Palahniuk,english,Intermediate,3.50,3.60,"58,428",fiction," $1,015.87 ", $609.52 , $8.99 , $ 8 - 9 ,1006,Hachette Book Group,"2,862"
2003,The Slippery Slope,"Lemony Snicket, Brett Helquist",english - US,Intermediate,4.00,4.00,"81,362",fiction, $988.90 , $593.34 , $8.99 , $ 8 - 9 ,1111,Penglishuin Group (USA) LLC,"4,320"
2003,Moloka'i,Alan Brennert,english - US,Excellent,4.00,4.15,"75,307",nonfiction, $950.81 , $570.49 , $7.99 , $ 7 - 8 ,787,HarperCollins Christian Publishing,"36,720"
2003,Club Dead,Charlaine Harris,english - GB,Intermediate,4.00,4.03,"181,323",fiction," $13,178.00 "," $7,906.80 ", $5.99 , $ 5 - 6 ,32,HarperCollins Publishers,"2,200"
2003,Death Masks,Jim Butcher,english,Excellent,4.50,4.32,"83,664",children, $654.90 , $392.94 , $5.55 , $ 5 - 6 ,802,"Amazon Digital Services,  Inc.","36,072"
2003,The King of Torts,John Grisham,english,Intermediate,3.50,3.67,"61,835",nonfiction, $670.88 , $402.53 , $5.99 , $ 5 - 6 ,1027,HarperCollins Publishers,"4,480"
2003,The Queen's Fool,Philippa Gregory,english - US,Intermediate,4.00,3.83,"69,504",fiction, $598.41 , $359.05 , $5.49 , $ 5 - 6 ,1148,Simon and Schuster Digital Sales Inc,"4,240"
2003,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,english,Intermediate,3.50,3.57,"94,696",fiction," $1,072.85 ", $-   , $4.99 , $ 4 - 5 ,419,"Amazon Digital Services,  Inc.","5,805"
2003,Benjamin Franklin: An American Life,Walter Isaacson,english,Intermediate,4.00,3.96,"70,335",fiction, $573.85 , $344.31 , $4.99 , $ 4 - 5 ,933,Macmillan,"2,916"
2003,True Believer,Nicholas spanishrks,english - US,Intermediate,4.00,3.80,"62,840",fiction, $558.88 , $-   , $4.99 , $ 4 - 5 ,1035,"Amazon Digital Services,  Inc.","4,440"
2003,Oryx and Crake,Margaret Atwood,english,Intermediate,4.00,4.00,"151,500",fiction," $7,485.24 ", $-   , $3.99 , $ 3 - 4 ,43,"Amazon Digital Services,  Inc.","1,876"
2003,"Eats, Shoots and Leaves",Lynne Truss,english - US,Intermediate,4.00,3.86,"79,117",fiction, $466.83 , $-   , $3.99 , $ 3 - 4 ,852,"Amazon Digital Services,  Inc.","32,184"
2003,Crossroads of Twilight,Robert Jordan,english - US,Intermediate,4.00,3.82,"61,361",fiction, $430.92 , $-   , $3.99 , $ 3 - 4 ,1170,"Amazon Digital Services,  Inc.",108
2003,We Need to Talk About Kevin,Lionel Shriver,english,Excellent,4.00,4.07,"101,343",fiction," $5,902.92 "," $3,541.75 ", $25.89 , $ 25 - 26 ,393,HarperCollins Publishers,"6,156"
2003,A Great and Terrible Beauty,Libba Bray,english,Intermediate,4.00,3.79,"173,613",fiction," $4,966.39 "," $2,979.83 ", $2.99 , $ 2 - 3 ,57,Penglishuin Group (USA) LLC,"1,661"
2003,Wolves of the Calla,"Stephen King, Bernie Wrightson",english,Excellent,4.00,4.17,"98,182",fiction, $603.98 , $-   , $2.99 , $ 2 - 3 ,445,"Amazon Digital Services,  Inc.","5,454"
2003,The Eternity Code,Eoin Colfer,english,Excellent,4.00,4.04,"94,437",fiction, $394.68 , $-   , $2.99 , $ 2 - 3 ,692,"Amazon Digital Services,  Inc.","51,192"
2003,The Birth of Venus,Sarabich Dunant,english - US,Intermediate,4.00,3.79,"78,129",fiction, $370.76 , $-   , $2.99 , $ 2 - 3 ,730,"Amazon Digital Services,  Inc.","45,576"
2003,Blankets,Craig Thompson,english,Excellent,4.00,4.06,"70,454",fiction, $343.85 , $-   , $2.99 , $ 2 - 3 ,909,"Amazon Digital Services,  Inc.","2,943"
2003,Gregor the Overlander,Suzanne Collins,english,Intermediate,4.00,3.99,"66,823",fiction, $322.92 , $-   , $2.99 , $ 2 - 3 ,1183,"Amazon Digital Services,  Inc.",108
2004,Going Postal,Terry Pratchett,english,Excellent,4.50,4.36,"75,186",fiction," $1,366.86 ", $820.12 , $11.99 , $ 11 - 12 ,939,Penglishuin Group (USA) LLC,"2,916"
2004,Where Rainbows End,Cecelia Ahern,english - US,Intermediate,4.00,3.95,"55,236",nonfiction," $1,208.90 ", $725.34 , $10.99 , $ 10 - 11 ,1101,Random House LLC,"4,320"
2004,Dead to the World,Charlaine Harris,english,Intermediate,4.00,4.13,"199,572",fiction," $2,376.00 ", $-   , $0.99 , $ 0 - 1 ,29,"Amazon Digital Services,  Inc.","2,400"
2004,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,english,Intermediate,4.00,4.18,"126,864",fiction, $425.70 , $255.42 , $0.99 , $ 0 - 1 ,242,Random House LLC,430
2004,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,english,Intermediate,4.00,3.86,"82,535",fiction, $154.44 , $-   , $0.99 , $ 0 - 1 ,585,"Amazon Digital Services,  Inc.","4,212"
2004,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,english - GB,Novice,3.50,3.43,"67,438",fiction, $146.52 , $-   , $0.99 , $ 0 - 1 ,620,"Amazon Digital Services,  Inc.","3,996"
2004,State of Fear,Michael Crichton,english,Intermediate,3.50,3.69,"65,397",fiction, $114.84 , $68.90 , $0.99 , $ 0 - 1 ,885,"Amazon Digital Services,  Inc.","30,240"
2004,Those Who Save Us,Jenna Blum,english - US,Excellent,4.00,4.12,"68,480",fiction, $114.84 , $-   , $0.99 , $ 0 - 1 ,890,"Amazon Digital Services,  Inc.","29,808"
2004,At First Sight,Nicholas spanishrks,english - US,Intermediate,4.00,3.81,"62,219",fiction, $108.90 , $65.34 , $0.99 , $ 0 - 1 ,1091,"Amazon Digital Services,  Inc.","4,320"
2004,Furies of Calderon ,Jim Butcher,english,Excellent,4.00,4.12,"70,269",fiction, $108.90 , $-   , $0.99 , $ 0 - 1 ,1119,"Amazon Digital Services,  Inc.","4,280"
2004,90 Minutes in Heaven,"Don Piper, Cecil Murphey",,Intermediate,4.00,3.91,"67,937",fiction," $1,251.22 ", $750.73 , $8.57 , $ 8 - 9 ,631,"Amazon Digital Services,  Inc.","3,942"
2004,Blood Rites,Jim Butcher,english,Excellent,4.50,4.33,"79,627",nonfiction," $1,041.68 ", $625.01 , $8.98 , $ 8 - 9 ,894,"Amazon Digital Services,  Inc.","28,944"
2004,The Last Juror,John Grisham,english,Intermediate,4.00,3.85,"63,114",nonfiction, $970.67 , $582.40 , $8.59 , $ 8 - 9 ,1005,Penglishuin Group (USA) LLC,"2,862"
2004,Jonathan Strange & Mr Norrell,Susanna Clarke,english,Intermediate,4.00,3.80,"133,683",fiction," $5,593.00 "," $3,355.80 ", $7.99 , $ 7 - 8 ,160,Hachette Book Group,700
2004,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,english - GB,Intermediate,4.00,3.79,"83,607",nonfiction," $1,294.54 ", $776.72 , $7.66 , $ 7 - 8 ,526,Simon and Schuster Digital Sales Inc,"4,563"
2004,America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",english,Excellent,4.00,4.02,"74,511",nonfiction," $1,166.54 ", $699.92 , $7.99 , $ 7 - 8 ,630,Random House LLC,"3,942"
2004,Little Earthquakes,Jennifer Weiner,,Intermediate,4.00,3.76,"77,592",nonfiction," $1,072.50 ", $643.50 , $7.50 , $ 7 - 8 ,645,Random House LLC,"3,861"
2004,Bet Me,Jennifer Crusie,english,Intermediate,4.00,3.95,"70,737",fiction, $846.94 , $508.16 , $7.99 , $ 7 - 8 ,1266,Random House LLC,106
2004, The Tale of Despereaux,"Kate DiCamillo, Timothy Basil Ering",english - US,Intermediate,4.00,4.00,"113,066",fiction," $1,153.35 ", $692.01 , $6.99 , $ 6 - 7 ,541,Penglishuin Group (USA) LLC,"4,455"
2004,The Ruins of Gorlan,John Flanagan,english,Excellent,4.00,4.20,"83,085",nonfiction, $824.82 , $494.89 , $6.99 , $ 6 - 7 ,818,Random House LLC,"34,992"
2004,The Golem's Eye,Jonathan Stroud,english - US,Excellent,4.00,4.09,"69,058",nonfiction, $810.84 , $486.50 , $6.99 , $ 6 - 7 ,886,Simon and Schuster Digital Sales Inc,"29,808"
2004,ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku],"Haruki Murakami, Jay Rubin",english,Intermediate,3.50,3.68,"64,278",fiction, $694.84 , $-   , $5.99 , $ 5 - 6 ,866,"Amazon Digital Services,  Inc.","31,536"
2004,The Truth About Forever,Sarabich Dessen,english - US,Intermediate,4.00,4.13,"179,415",fiction," $17,964.00 ", $-   , $4.99 , $ 4 - 5 ,11,"Amazon Digital Services,  Inc.","3,600"
